YEAR,STATE,RATE,DEATHS,region
2020,AL,22.3,1029,alabama
2020,AK,22,160,alaska
2020,AZ,35.8,2550,arizona
2020,AR,19.1,546,arkansas
2020,CA,21.8,8908,california
2020,CO,24.9,1492,colorado
2020,CT,39.1,1371,connecticut
2020,DE,47.3,444,delaware
2020,FL,35,7231,florida
2020,GA,18,1916,georgia
2020,HI,18.3,274,hawaii
2020,ID,15.9,287,idaho
2020,IL,28.1,3549,illinois
2020,IN,36.7,2321,indiana
2020,IA,14.3,432,iowa
2020,KS,17.4,490,kansas
2020,KY,49.2,2083,kentucky
2020,LA,42.7,1896,louisiana
2020,ME,39.7,496,maine
2020,MD,44.6,2771,maryland
2020,MA,33.9,2302,massachusetts
2020,MI,28.6,2759,michigan
2020,MN,19,1050,minnesota
2020,MS,21.1,586,mississippi 
2020,MO,32.1,1875,missouri
2020,MT,15.6,162,montana
2020,NE,11.3,214,nebraska
2020,NV,26,832,nevada
2020,NH,30.3,393,new hampshire
2020,NJ,32.1,2840,new jersey
2020,NM,39,784,new mexico
2020,NY,25.4,4965,new york
2020,NC,30.9,3146,north carolina
2020,ND,15.6,114,north dakota
2020,OH,47.2,5204,ohio
2020,OK,19.4,762,oklahoma
2020,OR,18.7,803,oregon
2020,PA,42.4,5168,pennsylvania
2020,RI,38.2,397,rhode island
2020,SC,34.9,1739,south carolina
2020,SD,10.3,83,south dakota
2020,TN,45.6,3034,tennessee
2020,TX,14.1,4172,texas
2020,UT,20.5,622,utah
2020,VT,32.9,190,vermont
2020,VA,26.6,2240,virginia
2020,WA,22,1733,washington
2020,WV,81.4,1330,west virginia
2020,WI,27.7,1531,wisconsin
2020,WY,17.4,99,wyoming
2019,AL,16.3,768,alabama
2019,AK,17.8,132,alaska
2019,AZ,26.8,1907,arizona
2019,AR,13.5,388,arkansas
2019,CA,15,6198,california
2019,CO,18,1079,colorado
2019,CT,34.7,1214,connecticut
2019,DE,48,435,delaware
2019,FL,25.5,5268,florida
2019,GA,13.1,1408,georgia
2019,HI,15.9,242,hawaii
2019,ID,15.1,265,idaho
2019,IL,21.9,2790,illinois
2019,IN,26.6,1699,indiana
2019,IA,11.5,352,iowa
2019,KS,14.3,403,kansas
2019,KY,32.5,1380,kentucky
2019,LA,28.3,1267,louisiana
2019,ME,29.9,371,maine
2019,MD,38.2,2369,maryland
2019,MA,32.1,2210,massachusetts
2019,MI,24.4,2385,michigan
2019,MN,14.2,792,minnesota
2019,MS,13.6,394,mississippi 
2019,MO,26.9,1583,missouri
2019,MT,14.1,143,montana
2019,NE,8.7,161,nebraska
2019,NV,20.1,647,nevada
2019,NH,32,407,new hampshire
2019,NJ,31.7,2805,new jersey
2019,NM,30.2,599,new mexico
2019,NY,18.2,3617,new york
2019,NC,22.3,2266,north carolina
2019,ND,11.4,82,north dakota
2019,OH,38.3,4251,ohio
2019,OK,16.7,645,oklahoma
2019,OR,14,615,oregon
2019,PA,35.6,4377,pennsylvania
2019,RI,29.5,307,rhode island
2019,SC,22.7,1127,south carolina
2019,SD,10.5,86,south dakota
2019,TN,31.2,2089,tennessee
2019,TX,10.8,3136,texas
2019,UT,18.9,571,utah
2019,VT,23.8,133,vermont
2019,VA,18.3,1547,virginia
2019,WA,15.8,1259,washington
2019,WV,52.8,870,west virginia
2019,WI,21.1,1201,wisconsin
2019,WY,14.1,79,wyoming
2018,AL,16.6,775,alabama
2018,AK,14.6,110,alaska
2018,AZ,23.8,"1,670",arizona
2018,AR,15.7,444,arkansas
2018,CA,12.8,"5,348",california
2018,CO,16.8,995,colorado
2018,CT,30.7,"1,069",connecticut
2018,DE,43.8,401,delaware
2018,FL,22.8,"4,698",florida
2018,GA,13.2,"1,404",georgia
2018,HI,14.3,213,hawaii
2018,ID,14.6,250,idaho
2018,IL,21.3,"2,722",illinois
2018,IN,25.6,"1,629",indiana
2018,IA,9.6,287,iowa
2018,KS,12.4,345,kansas
2018,KY,30.9,"1,315",kentucky
2018,LA,25.4,"1,140",louisiana
2018,ME,27.9,345,maine
2018,MD,37.2,"2,324",maryland
2018,MA,32.8,"2,241",massachusetts
2018,MI,26.6,"2,591",michigan
2018,MN,11.5,636,minnesota
2018,MS,10.8,310,mississippi 
2018,MO,27.5,"1,610",missouri
2018,MT,12.2,125,montana
2018,NE,7.4,138,nebraska
2018,NV,21.2,688,nevada
2018,NH,35.8,452,new hampshire
2018,NJ,33.1,"2,900",new jersey
2018,NM,26.7,537,new mexico
2018,NY,18.4,"3,697",new york
2018,NC,22.4,"2,259",north carolina
2018,ND,10.2,70,north dakota
2018,OH,35.9,"3,980",ohio
2018,OK,18.4,716,oklahoma
2018,OR,12.6,547,oregon
2018,PA,36.1,"4,415",pennsylvania
2018,RI,30.1,317,rhode island
2018,SC,22.6,"1,125",south carolina
2018,SD,6.9,57,south dakota
2018,TN,27.5,"1,823",tennessee
2018,TX,10.4,"3,005",texas
2018,UT,21.2,624,utah
2018,VT,26.6,153,vermont
2018,VA,17.1,"1,448",virginia
2018,WA,14.8,"1,164",washington
2018,WV,51.5,856,west virginia
2018,WI,19.2,"1,079",wisconsin
2018,WY,11.1,66,wyoming
2017,AL,18,835,alabama
2017,AK,20.2,147,alaska
2017,AZ,22.2,"1,532",arizona
2017,AR,15.5,446,arkansas
2017,CA,11.7,"4,868",california
2017,CO,17.6,"1,015",colorado
2017,CT,30.9,"1,072",connecticut
2017,DE,37,338,delaware
2017,FL,25.1,"5,088",florida
2017,GA,14.7,"1,537",georgia
2017,HI,13.8,203,hawaii
2017,ID,14.4,236,idaho
2017,IL,21.6,"2,778",illinois
2017,IN,29.4,"1,852",indiana
2017,IA,11.5,341,iowa
2017,KS,11.8,333,kansas
2017,KY,37.2,"1,566",kentucky
2017,LA,24.5,"1,108",louisiana
2017,ME,34.4,424,maine
2017,MD,36.3,"2,247",maryland
2017,MA,31.8,"2,168",massachusetts
2017,MI,27.8,"2,694",michigan
2017,MN,13.3,733,minnesota
2017,MS,12.2,354,mississippi 
2017,MO,23.4,"1,367",missouri
2017,MT,11.7,119,montana
2017,NE,8.1,152,nebraska
2017,NV,21.6,676,nevada
2017,NH,37,467,new hampshire
2017,NJ,30,"2,685",new jersey
2017,NM,24.8,493,new mexico
2017,NY,19.4,"3,921",new york
2017,NC,24.1,"2,414",north carolina
2017,ND,9.2,68,north dakota
2017,OH,46.3,"5,111",ohio
2017,OK,20.1,775,oklahoma
2017,OR,12.4,530,oregon
2017,PA,44.3,"5,388",pennsylvania
2017,RI,31,320,rhode island
2017,SC,20.5,"1,008",south carolina
2017,SD,8.5,73,south dakota
2017,TN,26.6,"1,776",tennessee
2017,TX,10.5,"2,989",texas
2017,UT,22.3,650,utah
2017,VT,23.2,134,vermont
2017,VA,17.9,"1,507",virginia
2017,WA,15.2,"1,169",washington
2017,WV,57.8,974,west virginia
2017,WI,21.2,"1,177",wisconsin
2017,WY,12.2,69,wyoming
2016,AL,16.2,756,alabama
2016,AK,16.8,128,alaska
2016,AZ,20.3,"1,382",arizona
2016,AR,14,401,arkansas
2016,CA,11.2,"4,654",california
2016,CO,16.6,942,colorado
2016,CT,27.4,971,connecticut
2016,DE,30.8,282,delaware
2016,FL,23.7,"4,728",florida
2016,GA,13.3,"1,394",georgia
2016,HI,12.8,191,hawaii
2016,ID,15.2,243,idaho
2016,IL,18.9,"2,411",illinois
2016,IN,24,"1,526",indiana
2016,IA,10.6,314,iowa
2016,KS,11.1,313,kansas
2016,KY,33.5,"1,419",kentucky
2016,LA,21.8,996,louisiana
2016,ME,28.7,353,maine
2016,MD,33.2,"2,044",maryland
2016,MA,33,"2,227",massachusetts
2016,MI,24.4,"2,347",michigan
2016,MN,12.5,672,minnesota
2016,MS,12.1,352,mississippi 
2016,MO,23.6,"1,371",missouri
2016,MT,11.7,119,montana
2016,NE,6.4,120,nebraska
2016,NV,21.7,665,nevada
2016,NH,39,481,new hampshire
2016,NJ,23.2,"2,056",new jersey
2016,NM,25.2,500,new mexico
2016,NY,18,"3,638",new york
2016,NC,19.7,"1,956",north carolina
2016,ND,10.6,77,north dakota
2016,OH,39.1,"4,329",ohio
2016,OK,21.5,813,oklahoma
2016,OR,11.9,506,oregon
2016,PA,37.9,"4,627",pennsylvania
2016,RI,30.8,326,rhode island
2016,SC,18.1,879,south carolina
2016,SD,8.4,69,south dakota
2016,TN,24.5,"1,630",tennessee
2016,TX,10.1,"2,831",texas
2016,UT,22.4,635,utah
2016,VT,22.2,125,vermont
2016,VA,16.7,"1,405",virginia
2016,WA,14.5,"1,102",washington
2016,WV,52,884,west virginia
2016,WI,19.3,"1,074",wisconsin
2016,WY,17.6,99,wyoming
2015,AL,15.7,736,alabama
2015,AK,16,122,alaska
2015,AZ,19,"1,274",arizona
2015,AR,13.8,392,arkansas
2015,CA,11.3,"4,659",california
2015,CO,15.4,869,colorado
2015,CT,22.1,800,connecticut
2015,DE,22,198,delaware
2015,FL,16.2,"3,228",florida
2015,GA,12.7,"1,302",georgia
2015,HI,11.3,169,hawaii
2015,ID,14.2,218,idaho
2015,IL,14.1,"1,835",illinois
2015,IN,19.5,"1,245",indiana
2015,IA,10.3,309,iowa
2015,KS,11.8,329,kansas
2015,KY,29.9,"1,273",kentucky
2015,LA,19,861,louisiana
2015,ME,21.2,269,maine
2015,MD,20.9,"1,285",maryland
2015,MA,25.7,"1,724",massachusetts
2015,MI,20.4,"1,980",michigan
2015,MN,10.6,581,minnesota
2015,MS,12.3,351,mississippi 
2015,MO,17.9,"1,066",missouri
2015,MT,13.8,138,montana
2015,NE,6.9,126,nebraska
2015,NV,20.4,619,nevada
2015,NH,34.3,422,new hampshire
2015,NJ,16.3,"1,454",new jersey
2015,NM,25.3,501,new mexico
2015,NY,13.6,"2,754",new york
2015,NC,15.8,"1,567",north carolina
2015,ND,8.6,61,north dakota
2015,OH,29.9,"3,310",ohio
2015,OK,19,725,oklahoma
2015,OR,12,505,oregon
2015,PA,26.3,"3,264",pennsylvania
2015,RI,28.2,310,rhode island
2015,SC,15.7,761,south carolina
2015,SD,8.4,65,south dakota
2015,TN,22.2,"1,457",tennessee
2015,TX,9.4,"2,588",texas
2015,UT,23.4,646,utah
2015,VT,16.7,99,vermont
2015,VA,12.4,"1,039",virginia
2015,WA,14.7,"1,094",washington
2015,WV,41.5,725,west virginia
2015,WI,15.5,878,wisconsin
2015,WY,16.4,96,wyoming
2014,AL,15.2,723,alabama
2014,AK,16.8,124,alaska
2014,AZ,12.6,356,arizona
2014,AR,18.2,"1,211",arkansas
2014,CA,11.1,"4,521",california
2014,CO,16.3,899,colorado
2014,CT,17.6,623,connecticut
2014,DE,20.9,189,delaware
2014,FL,13.2,"2,634",florida
2014,GA,11.9,"1,206",georgia
2014,HI,10.9,157,hawaii
2014,ID,13.7,212,idaho
2014,IL,13.1,"1,705",illinois
2014,IN,18.2,"1,172",indiana
2014,IA,8.8,264,iowa
2014,KS,11.7,332,kansas
2014,KY,24.7,"1,077",kentucky
2014,LA,16.9,777,louisiana
2014,ME,16.8,216,maine
2014,MD,17.4,"1,070",maryland
2014,MA,19,"1,289",massachusetts
2014,MI,18,"1,762",michigan
2014,MN,9.6,517,minnesota
2014,MS,11.6,336,mississippi 
2014,MO,18.2,"1,067",missouri
2014,MT,12.4,125,montana
2014,NE,7.2,125,nebraska
2014,NV,18.4,545,nevada
2014,NH,26.2,334,new hampshire
2014,NJ,14,"1,253",new jersey
2014,NM,27.3,547,new mexico
2014,NY,11.3,"2,300",new york
2014,NC,13.8,"1,358",north carolina
2014,ND,6.3,43,north dakota
2014,OH,24.6,"2,744",ohio
2014,OK,20.3,777,oklahoma
2014,OR,12.8,522,oregon
2014,PA,21.9,"2,732",pennsylvania
2014,RI,23.4,247,rhode island
2014,SC,14.4,701,south carolina
2014,SD,7.8,63,south dakota
2014,TN,19.5,"1,269",tennessee
2014,TX,9.7,"2,601",texas
2014,UT,22.4,603,utah
2014,VT,13.9,83,vermont
2014,VA,11.7,980,virginia
2014,WA,13.3,979,washington
2014,WV,35.5,627,west virginia
2014,WI,15.1,853,wisconsin
2014,WY,19.4,109,wyoming
2005,AL,6.3,283,alabama
2005,AK,11.4,79,alaska
2005,AZ,14.1,794,arizona
2005,AR,10.1,269,arkansas
2005,CA,9,"3,214",california
2005,CO,12.7,608,colorado
2005,CT,8.5,295,connecticut
2005,DE,7.5,62,delaware
2005,FL,13.5,"2,371",florida
2005,GA,8.2,738,georgia
2005,HI,9.4,126,hawaii
2005,ID,8.1,109,idaho
2005,IL,8.4,"1,067",illinois
2005,IN,9.8,610,indiana
2005,IA,4.8,141,iowa
2005,KS,9.1,241,kansas
2005,KY,15.3,638,kentucky
2005,LA,14.7,661,louisiana
2005,ME,12.4,163,maine
2005,MD,11.4,656,maryland
2005,MA,12,780,massachusetts
2005,MI,9.8,985,michigan
2005,MN,5.4,282,minnesota
2005,MS,8.8,248,mississippi 
2005,MO,10.7,608,missouri
2005,MT,10.1,96,montana
2005,NE,5,86,nebraska
2005,NV,18.7,457,nevada
2005,NH,10.7,142,new hampshire
2005,NJ,9.4,823,new jersey
2005,NM,20.1,373,new mexico
2005,NY,4.8,944,new york
2005,NC,11.4,"1,000",north carolina
2005,ND,0,12,north dakota
2005,OH,10.9,"1,243",ohio
2005,OK,13.8,478,oklahoma
2005,OR,10.4,386,oregon
2005,PA,13.2,"1,613",pennsylvania
2005,RI,14.3,156,rhode island
2005,SC,9.9,427,south carolina
2005,SD,5.5,40,south dakota
2005,TN,14.5,872,tennessee
2005,TX,8.5,"1,910",texas
2005,UT,19.3,438,utah
2005,VT,8.5,53,vermont
2005,VA,7.5,581,virginia
2005,WA,13,850,washington
2005,WV,10.5,184,west virginia
2005,WI,9.3,518,wisconsin
2005,WY,4.9,26,wyoming
1999,AL,3.9,169,alabama
1999,AK,7.5,46,alaska
1999,AZ,10.6,511,arizona
1999,AR,4.4,113,arkansas
1999,CA,8.1,"2,662",california
1999,CO,8,349,colorado
1999,CT,9,310,connecticut
1999,DE,6.4,50,delaware
1999,FL,6.4,997,florida
1999,GA,3.5,283,georgia
1999,HI,6.5,80,hawaii
1999,ID,5.3,64,idaho
1999,IL,6.7,825,illinois
1999,IN,3.2,191,indiana
1999,IA,1.9,53,iowa
1999,KS,3.4,89,kansas
1999,KY,4.9,197,kentucky
1999,LA,4.3,188,louisiana
1999,ME,5.3,67,maine
1999,MD,11.4,629,maryland
1999,MA,7.5,488,massachusetts
1999,MI,4.6,460,michigan
1999,MN,2.8,136,minnesota
1999,MS,3.2,87,mississippi 
1999,MO,5,276,missouri
1999,MT,4.6,41,montana
1999,NE,2.3,39,nebraska
1999,NV,11.5,227,nevada
1999,NH,4.3,54,new hampshire
1999,NJ,6.5,557,new jersey
1999,NM,15,266,new mexico
1999,NY,5,959,new york
1999,NC,4.6,366,north carolina
1999,ND,0,12,north dakota
1999,OH,4.2,467,ohio
1999,OK,5.4,178,oklahoma
1999,OR,6.1,210,oregon
1999,PA,8.1,990,pennsylvania
1999,RI,5.5,58,rhode island
1999,SC,3.7,147,south carolina
1999,SD,0,17,south dakota
1999,TN,6.1,344,tennessee
1999,TX,5.4,"1,087",texas
1999,UT,10.6,205,utah
1999,VT,4.7,29,vermont
1999,VA,5,366,virginia
1999,WA,9.3,555,washington
1999,WV,4.1,75,west virginia
1999,WI,4,212,wisconsin
1999,WY,4.1,20,wyoming